city_code,CAGR,Geometric Mean Return,Annualized Volatility,Sharpe Ratio,City Name
28222,-3.77%,-3.66%,1.55%,-2.368,養父市
28223,-2.40%,-2.45%,1.30%,-1.876,丹波市
28224,-2.86%,-2.95%,1.54%,-1.918,南あわじ市
28225,-3.82%,-3.71%,1.78%,-2.080,朝来市
28226,-3.47%,-3.51%,2.11%,-1.661,淡路市
28227,-2.13%,-2.13%,0.66%,-3.249,宍粟市
28228,-0.50%,-0.58%,3.86%,-0.151,加東市
28229,-1.89%,-1.76%,1.37%,-1.287,たつの市
28301,-2.12%,-2.27%,1.79%,-1.270,猪名川町
28365,-2.62%,-2.54%,2.11%,-1.206,多可町
28381,-0.32%,-0.43%,3.04%,-0.143,稲美町
28382,-0.10%,-0.10%,1.13%,-0.090,播磨町
28443,-2.14%,-1.27%,5.45%,-0.233,福崎町
28464,-0.63%,-0.61%,1.84%,-0.334,太子町
28481,-4.82%,-4.62%,2.56%,-1.808,上郡町
28501,-2.07%,-1.95%,1.06%,-1.832,佐用町
28585,-5.78%,-5.68%,1.48%,-3.847,香美町
28586,-4.27%,-4.21%,1.66%,-2.543,新温泉町
29201,1.06%,1.16%,3.33%,0.348,奈良市
29202,-1.18%,-1.12%,1.35%,-0.830,大和高田市
29203,-0.53%,-0.46%,1.00%,-0.461,大和郡山市
29204,-1.18%,-1.10%,2.02%,-0.545,天理市
29205,-0.30%,-0.15%,1.88%,-0.080,橿原市
29206,-1.19%,-1.17%,2.39%,-0.491,桜井市
29207,-2.74%,-2.60%,1.49%,-1.748,五條市
29208,-1.85%,-1.85%,1.04%,-1.782,御所市
29209,0.18%,0.38%,2.33%,0.162,生駒市
29210,0.12%,0.16%,1.70%,0.093,香芝市
29211,-1.36%,-1.29%,3.00%,-0.432,葛城市
29212,-1.86%,-1.83%,1.90%,-0.962,宇陀市
29342,-2.18%,-2.00%,2.32%,-0.861,平群町
29343,-2.41%,-2.22%,1.41%,-1.576,三郷町
29344,-0.19%,-0.17%,1.77%,-0.096,斑鳩町
29345,-1.55%,-1.42%,1.87%,-0.762,安堵町
29361,-1.89%,-1.76%,3.72%,-0.471,川西町
29362,-1.15%,-1.07%,1.14%,-0.932,三宅町
29363,-1.17%,-1.04%,1.44%,-0.719,田原本町
29401,-2.13%,-2.10%,1.06%,-1.979,高取町
29402,-0.82%,-0.85%,1.01%,-0.836,明日香村
29424,-2.18%,-2.06%,1.26%,-1.630,上牧町
29425,-0.05%,0.01%,2.01%,0.006,王寺町
29426,-0.36%,-0.26%,1.92%,-0.133,広陵町
29427,-1.98%,-1.75%,1.27%,-1.372,河合町
29441,-2.50%,-2.44%,5.15%,-0.474,吉野町
29442,-2.98%,-2.90%,0.91%,-3.188,大淀町
29443,-2.75%,-2.69%,0.70%,-3.842,下市町
30201,-0.86%,-0.76%,1.67%,-0.456,和歌山市
30202,-2.28%,-2.78%,2.71%,-1.028,海南市
30203,-2.55%,-2.51%,1.59%,-1.585,橋本市
30204,-3.79%,-3.77%,1.29%,-2.921,有田市
30205,-3.10%,-3.19%,3.81%,-0.838,御坊市
30206,-1.29%,-1.50%,3.17%,-0.473,田辺市
30207,-3.47%,-3.54%,3.30%,-1.073,新宮市
30208,-3.57%,-3.65%,2.07%,-1.762,紀の川市
30209,-1.91%,-2.00%,2.47%,-0.810,岩出市
30341,-2.88%,-2.80%,1.19%,-2.357,かつらぎ町
30343,-2.82%,-2.75%,0.77%,-3.557,九度山町
30344,-2.64%,-2.49%,1.91%,-1.305,高野町
30361,-4.85%,-4.71%,2.51%,-1.876,湯浅町
30366,-1.99%,-1.91%,2.79%,-0.686,有田川町
30381,-3.98%,-3.91%,1.37%,-2.853,美浜町
30383,-3.92%,-3.91%,1.28%,-3.056,由良町
30391,-3.22%,-3.22%,1.74%,-1.852,みなべ町
30401,-2.25%,-2.37%,2.48%,-0.953,白浜町
30404,-2.17%,-2.28%,2.39%,-0.955,上富田町
30406,-3.35%,-3.35%,1.46%,-2.292,すさみ町
30421,-4.23%,-3.11%,6.39%,-0.487,那智勝浦町
30422,-4.32%,-4.28%,2.42%,-1.770,太地町
30428,-2.40%,-2.55%,6.61%,-0.386,串本町
31201,-2.55%,-2.60%,1.95%,-1.330,鳥取市
31202,-2.54%,-2.59%,2.38%,-1.091,米子市
31203,-3.29%,-3.32%,2.27%,-1.460,倉吉市
31204,-1.93%,-1.99%,3.44%,-0.579,境港市
31302,-2.63%,-2.80%,1.96%,-1.427,岩美町
31325,-3.99%,-4.00%,1.01%,-3.969,若桜町
31328,-4.37%,-4.38%,0.90%,-4.866,智頭町
31329,-2.20%,-2.20%,1.96%,-1.121,八頭町
31364,-3.56%,-3.56%,1.09%,-3.251,三朝町
31370,-3.03%,-3.12%,3.22%,-0.967,湯梨浜町
31371,-2.60%,-2.74%,1.98%,-1.385,琴浦町
